x;y
93;112
93;109
93;106
93;103
93;101
93;95
93;93
93;90
93;88
93;83
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
93;80
90;80
88;80
86;80
84;80
80;80
78;80
76;80
74;80
70;80
69;80
69;80
69;80
69;75
69;73
69;70
69;68
69;63
69;60
69;58
69;52
67;50
65;50
64;50
62;50
60;50
57;50
55;50
53;50
50;50
48;50
46;50
46;49
46;45
46;43
46;41
46;39
46;37
46;37
46;37
46;37
46;37
44;37
42;37
40;37
37;37
35;37
33;37
32;37
29;37
27;37
26;37
26;35
26;33
26;29
26;27
26;25
26;25
26;25
26;25
26;25
26;25
26;25
26;25
26;25
26;25
25;25
24;25
22;25
19;25
18;25
16;25
15;24
12;20
10;18
9;16
8;12
8;9
8;5
8;2
8;-3
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
8;-6
6;-6
3;-6
1;-6
0;-6
-1;-6
-3;-6
-6;-6
-8;-6
-10;-6
-11;-6
-13;-7
-13;-9
-13;-11
-13;-14
-13;-16
-13;-18
-13;-21
-13;-23
-13;-24
-13;-26
-14;-28
-16;-28
-19;-28
-20;-28
-22;-28
-22;-29
-22;-31
-22;-32
-22;-34
-22;-37
-22;-39
-22;-40
-22;-42
-22;-45
-23;-47
-25;-47
-27;-47
-31;-47
-33;-47
-35;-47
-39;-47
-41;-47
-43;-47
-45;-47
-47;-47
-50;-47
-51;-47
-53;-47
-54;-47
-57;-47
-59;-48
-62;-51
-62;-51
-65;-55
-65;-57
-65;-58
-65;-63
-65;-65
-65;-67
-65;-71
-65;-71
-65;-74
-65;-75
-65;-77
-67;-80
-69;-80
-70;-80
-72;-80
-73;-80
-74;-80
-74;-81
-74;-84
-74;-84
-74;-88
-74;-90
-74;-92
-74;-94
-74;-98
-75;-100
-76;-102
-80;-103
-80;-103
-83;-103
-85;-103
-91;-103
-91;-103
-97;-103
-100;-103
-102;-103
-102;-103
-102;-105
-102;-106
-102;-109
-102;-111
-102;-112
-102;-112
-102;-112
-102;-112
-104;-112
-107;-112
-110;-112
-116;-112
-119;-112
-121;-112
-124;-112
-128;-112
-131;-112
-133;-112
-134;-112
