x;y
118;-107
118;-106
118;-104
118;-102
118;-100
118;-98
118;-94
118;-92
118;-91
118;-89
118;-86
118;-84
118;-84
118;-84
118;-84
118;-84
118;-84
116;-84
112;-84
111;-84
109;-84
107;-84
104;-84
103;-84
101;-84
100;-84
98;-84
98;-84
98;-84
98;-84
98;-84
98;-84
98;-84
98;-84
98;-84
98;-84
97;-84
96;-84
93;-84
91;-84
90;-84
86;-84
85;-84
83;-84
80;-84
79;-83
79;-79
79;-76
79;-72
79;-65
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
79;-62
75;-62
73;-62
72;-62
70;-62
68;-62
68;-62
68;-62
68;-62
68;-62
68;-58
68;-54
68;-49
68;-39
68;-35
68;-32
68;-32
68;-32
68;-32
68;-32
68;-32
68;-32
68;-32
68;-32
68;-32
64;-32
60;-32
56;-32
53;-32
49;-32
42;-32
39;-32
36;-32
33;-32
28;-32
27;-32
27;-29
27;-26
27;-19
27;-16
27;-13
27;-12
27;-12
27;-12
27;-12
26;-12
25;-12
21;-12
18;-12
16;-12
13;-12
11;-12
6;-12
4;-12
3;-12
3;-10
3;0
3;4
3;8
3;13
3;17
3;17
3;17
3;17
2;17
0;17
-1;17
-3;17
-4;17
-7;17
-9;17
-11;17
-13;17
-16;17
-16;17
-16;17
-16;17
-16;17
-16;17
-16;17
-16;17
-16;17
-16;17
-17;17
-21;17
-25;17
-29;17
-33;17
-35;17
-39;17
-41;17
-41;18
-41;21
-41;29
-41;32
-41;36
-41;39
-41;43
-41;45
-41;47
-41;49
-41;51
-41;51
-41;51
-41;51
-41;51
-41;53
-41;56
-41;61
-41;63
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;67
-41;70
-41;74
-41;80
-41;83
-41;87
-41;87
-41;87
-41;87
-41;87
-41;87
-42;87
-44;84
-46;80
-49;73
-51;70
-53;66
-55;63
-60;60
-63;59
-68;56
-74;55
-76;55
-79;55
-82;55
-88;55
-94;55
-97;57
-103;66
-103;75
-103;80
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-103;85
-104;85
-109;85
-116;85
-118;85
-125;85
-130;87
-132;91
-132;95
-132;103
-132;117
-132;122
-132;126
-132;126
-132;121
-132;116
-132;112
-132;102
-132;97
-132;97
-132;100
-132;107
-132;115
-132;119
-132;119
-132;119
-132;119
-132;119
-132;119
-132;119
-132;119
-132;119
-132;122
-132;124
-132;126
-132;130
