time;x;y;fx;fy
63;120;-120;0;108
126;120;-120;0;108
189;120;-120;0;108
252;120;-119;0;120
315;120;-117;0;120
378;120;-115;0;120
441;120;-112;0;120
504;120;-110;0;120
567;120;-109;0;121
630;120;-107;0;121
693;120;-104;0;121
756;120;-102;0;121
819;120;-100;0;121
882;120;-98;0;128
945;120;-95;0;128
1008;120;-93;0;128
1071;120;-92;0;128
1134;120;-90;0;128
1197;120;-86;0;173
1260;120;-83;0;173
1323;120;-81;0;173
1386;120;-78;0;173
1449;120;-73;0;173
1512;120;-71;0;172
1575;120;-68;0;172
1638;120;-66;0;172
1701;120;-61;0;172
1764;120;-58;0;172
1827;120;-56;0;169
1890;120;-53;0;169
1953;120;-51;0;169
2016;120;-45;0;169
2079;120;-43;0;169
2142;120;-41;0;152
2205;120;-37;0;152
2268;120;-35;0;152
2331;120;-33;0;152
2394;120;-30;0;152
2457;120;-26;0;182
2520;120;-23;0;182
2583;120;-21;0;182
2646;120;-18;0;182
2709;120;-13;0;208
2772;120;-10;0;208
2835;120;-6;0;208
2898;120;0;0;208
2961;120;3;0;208
3024;120;6;0;186
3087;120;8;0;186
3150;120;13;0;186
3213;120;16;0;186
3276;120;19;0;186
3339;120;21;0;167
3402;120;26;0;167
3465;120;29;0;167
3528;120;31;0;167
3591;120;34;0;167
3654;120;39;0;174
3717;120;41;0;174
3780;120;44;0;174
3843;120;46;0;174
3906;120;51;0;174
3969;120;54;0;165
4032;120;56;0;165
4095;120;59;0;165
4158;120;64;0;165
4221;120;66;0;165
4284;120;68;0;123
4347;120;70;0;123
4410;120;73;0;123
4473;120;75;0;123
4536;120;77;0;123
4599;120;78;0;110
4662;120;78;0;110
4725;120;78;0;110
4788;120;78;0;110
4851;120;78;0;110
4914;120;81;0;155
4977;120;83;0;155
5040;120;85;-27;155
5103;120;87;-27;155
5166;120;91;-27;150
5229;120;93;-27;150
5292;120;95;-27;150
5355;120;97;0;150
5418;120;101;0;150
5481;120;103;0;116
5544;120;105;0;116
5607;120;106;0;116
5670;120;109;0;116
5733;120;111;0;116
5796;120;112;0;116
5859;120;112;0;58
5922;120;112;0;58
5985;120;112;0;58
6048;120;112;0;58
6111;120;112;0;58
6174;120;112;0;0
6237;120;112;0;0
6300;120;112;0;0
6363;120;112;0;0
6426;120;112;0;58
6489;120;112;0;58
6552;120;112;0;58
6615;120;112;-26;58
6678;120;112;-26;58
6741;120;112;-26;69
6804;120;112;-26;69
6867;120;112;-26;69
6930;120;112;-26;69
6993;120;112;-26;69
7056;120;112;-26;39
7119;120;112;-26;39
7182;120;112;0;39
7245;120;112;0;39
7308;120;112;0;39
7371;120;112;0;35
7434;120;112;0;35
7497;120;112;-29;35
7560;120;112;-29;35
7623;120;112;-29;35
7686;120;112;-29;0
7749;120;112;-29;0
7812;120;112;-73;0
7875;120;112;-73;0
7938;120;112;-73;0
8001;120;112;-73;0
8064;120;112;-73;0
8127;120;112;-73;0
8190;120;112;-103;0
8253;120;112;-103;-29
8316;120;112;-103;-29
8379;120;112;-103;-29
8442;118;112;-140;-29
8505;116;112;-140;-29
8568;114;112;-140;-35
8631;112;112;-140;-35
8694;108;112;-140;-35
8757;106;112;-152;-35
8820;104;112;-152;-35
8883;102;112;-152;-64
8946;97;112;-152;-64
9009;95;112;-152;-64
9072;93;112;0;-64
9135;93;112;0;-64
9198;93;109;0;-190
9261;93;106;0;-190
9324;93;103;0;-190
9387;93;101;0;-190
9450;93;95;0;-161
9513;93;93;0;-161
9576;93;90;0;-161
9639;93;88;0;-161
9702;93;83;-74;-161
9765;93;80;-74;0
9828;93;80;-74;0
9891;93;80;-74;0
9954;93;80;-87;0
10017;93;80;-87;0
10080;93;80;-87;0
10143;93;80;-87;-40
10206;93;80;-87;-40
10269;93;80;-87;-40
10332;93;80;-93;-40
10395;93;80;-93;-40
10458;93;80;-93;-72
10521;93;80;-93;-72
10584;93;80;-93;-72
10647;93;80;-108;-72
10710;93;80;-108;-98
10773;93;80;-108;-98
10836;93;80;-108;-98
10899;93;80;-108;-98
10962;90;80;-139;-98
11025;88;80;-139;-87
11088;86;80;-139;-87
11151;84;80;-139;-87
11214;80;80;-145;-87
11277;78;80;-145;-87
11340;76;80;-145;-107
11403;74;80;-145;-107
11466;70;80;-145;-107
11529;69;80;-30;-107
11592;69;80;-30;-107
11655;69;80;-30;-160
11718;69;75;-30;-160
11781;69;73;-30;-160
11844;69;70;-70;-160
11907;69;68;-70;-160
11970;69;63;-70;-161
12033;69;60;-70;-161
12096;69;58;-70;-161
12159;69;52;-70;-161
12222;67;50;-129;-161
12285;65;50;-129;-44
12348;64;50;-129;-44
12411;62;50;-129;-44
12474;60;50;-129;-44
12537;57;50;-131;-44
12600;55;50;-131;-50
12663;53;50;-131;-50
12726;50;50;-131;-50
12789;48;50;-131;-50
12852;46;50;-131;-50
12915;46;49;-56;-142
12978;46;45;-56;-142
13041;46;43;-56;-142
13104;46;41;-56;-142
13167;46;39;-56;-142
13230;46;37;-103;-79
13293;46;37;-103;-79
13356;46;37;-103;-79
13419;46;37;-103;-79
13482;46;37;-103;-79
13545;44;37;-128;-51
13608;42;37;-128;-51
13671;40;37;-128;-51
13734;37;37;-128;-51
13797;35;37;-116;-78
13860;33;37;-116;-78
13923;32;37;-116;-78
13986;29;37;-116;-78
14049;27;37;-116;-78
14112;26;37;-81;-147
14175;26;35;-81;-147
14238;26;33;-81;-147
14301;26;29;-81;-147
14364;26;27;-81;-147
14427;26;25;-81;-147
14490;26;25;-95;-105
14553;26;25;-95;-105
14616;26;25;-95;-105
14679;26;25;-95;-105
14742;26;25;-108;-105
14805;26;25;-108;-101
14868;26;25;-108;-101
14931;26;25;-108;-101
14994;26;25;-108;-101
15057;25;25;-114;-101
15120;24;25;-114;-102
15183;22;25;-114;-102
15246;19;25;-114;-102
15309;18;25;-114;-102
15372;16;25;-114;-102
15435;15;24;-114;-138
15498;12;20;-114;-138
15561;10;18;-114;-138
15624;9;16;-114;-138
15687;8;12;-46;-196
15750;8;9;-46;-196
15813;8;5;-46;-196
15876;8;2;-46;-196
15939;8;-3;-84;-196
16002;8;-6;-84;-96
16065;8;-6;-84;-96
16128;8;-6;-84;-96
16191;8;-6;-84;-96
16254;8;-6;-95;-96
16317;8;-6;-95;-94
16380;8;-6;-95;-94
16443;8;-6;-95;-94
16506;8;-6;-95;-94
16569;8;-6;-95;-94
16632;8;-6;-107;-94
16695;8;-6;-107;-95
16758;8;-6;-107;-95
16821;8;-6;-107;-95
16884;8;-6;-107;-95
16947;6;-6;-121;-95
17010;3;-6;-121;-85
17073;1;-6;-121;-85
17136;0;-6;-121;-85
17199;-1;-6;-121;-85
17262;-3;-6;-122;-85
17325;-6;-6;-122;-103
17388;-8;-6;-122;-103
17451;-10;-6;-122;-103
17514;-11;-6;-122;-103
17577;-13;-7;-87;-134
17640;-13;-9;-87;-134
17703;-13;-11;-87;-134
17766;-13;-14;-87;-134
17829;-13;-16;-80;-134
