x;y
-134;-112
-134;-112
-131;-112
-127;-112
-123;-112
-120;-112
-113;-112
-109;-112
-102;-112
-102;-112
-94;-112
-91;-112
-86;-112
-77;-112
-72;-112
-67;-112
-63;-112
-58;-112
-51;-112
-48;-112
-44;-112
-40;-112
-33;-112
-29;-112
-26;-112
-18;-112
-15;-112
-11;-112
-4;-112
-4;-112
3;-112
6;-112
10;-112
17;-112
21;-112
24;-112
32;-112
32;-112
39;-112
43;-112
46;-112
54;-112
54;-112
63;-112
72;-112
72;-112
82;-112
86;-112
89;-112
95;-112
99;-112
102;-112
104;-112
104;-112
