x;y
120;-120
120;-120
120;-120
120;-119
120;-117
120;-115
120;-112
120;-110
120;-109
120;-107
120;-104
120;-102
120;-100
120;-98
120;-95
120;-93
120;-92
120;-90
120;-86
120;-83
120;-81
120;-78
120;-73
120;-71
120;-68
120;-66
120;-61
120;-58
120;-56
120;-53
120;-51
120;-45
120;-43
120;-41
120;-37
120;-35
120;-33
120;-30
120;-26
120;-23
120;-21
120;-18
120;-13
120;-10
120;-6
120;0
120;3
120;6
120;8
120;13
120;16
120;19
120;21
120;26
120;29
120;31
120;34
120;39
120;41
120;44
120;46
120;51
120;54
120;56
120;59
120;64
120;66
120;68
120;70
120;73
120;75
120;77
120;78
120;78
120;78
120;78
120;78
120;81
120;83
120;85
120;87
120;91
120;93
120;95
120;97
120;101
120;103
120;105
120;106
120;109
120;111
120;112
