x;y
-126;130
-126;130
-126;128
-126;125
-126;123
-126;120
-126;117
-126;112
-126;109
-126;105
-126;102
-126;95
-126;92
-126;89
-126;84
-126;81
-126;79
-126;76
-126;71
-126;68
-126;65
-126;63
-126;57
-126;54
-126;50
-126;44
-126;41
-126;37
-126;34
-126;27
-126;24
-126;21
-126;18
-126;15
-126;12
-126;6
-126;4
-126;1
-126;-1
-126;-6
-126;-8
-126;-11
-126;-13
-126;-18
-126;-21
-126;-24
-126;-26
-126;-31
-126;-37
-126;-42
-126;-48
-126;-50
-126;-55
-126;-58
-126;-61
-126;-63
-126;-66
-126;-71
-126;-73
-126;-79
-126;-81
-126;-84
-126;-86
-126;-91
-126;-94
-126;-96
-126;-98
-126;-100
-126;-104
-126;-106
-126;-107
-126;-107
-126;-107
